id,account_name,address,city,province_state,postal_zip,country,latitude,longitude,naics,naics_description,sic_6,sic_6_description,website,census_tract,account_type,estimated_annual_revenue_of_business,n_employees
16233280,Subway,6605 Hwy 7 E,Markham,ON,L3P7P1,Canada,43.87844,-79.2383,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350400.15,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
727728476,Sakata Sushi,1766 Eglinton Ave W,York,ON,M6E2H6,Canada,43.69631,-79.448493,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350169.01,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
52642741,Pizza Pizza,250 Wincott Dr,Etobicoke,ON,M9R2R5,Canada,43.679703,-79.546783,722511,Full-Service Restaurants,581222,PIZZA,,5350238.01,PROSPECT,"$1,000 - $499,999",5 - 9 employees
35769967,Pita & Grill,5030 Maingate Dr,Mississauga,ON,L4W1N5,Canada,43.629643,-79.628134,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350528.35,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
14798391,Kfc,1800 Sheppard Ave E,North York,ON,M2J5A7,Canada,43.77775,-79.3445,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350303,PROSPECT,"$500,000 - $999,999",10 - 19 employees
63775597,Le Restaurant Tu Bong,3095 1re Av,Quebec,QC,G1L3P5,Canada,46.838453,-71.24573,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210033.02,PROSPECT,"$1,000 - $499,999",5 - 9 employees
56786197,Tim Hortons,6034 Lady Hammond Rd,Halifax,NS,B3K2R6,Canada,44.664846,-63.612075,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,2050022,PROSPECT,"$1,000,000 - $2,499,999",20 - 49 employees
59009688,Hwichan Kim,4852 Yonge St,North York,ON,M2N5N2,Canada,43.76263,-79.41156,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350299.02,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
63990303,Boulangerie Cocoa,58 Marine Parade Dr,Etobicoke,ON,M8V4G1,Canada,43.62748,-79.47713,722514,"Cafeterias, Grill Buffets, and Buffets",581214,CAFES,,5350210.02,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
63072946,Tim Hortons,952 King St W,Toronto,ON,M6K1E4,Canada,43.642249,-79.412476,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,5350010.01,CUSTOMER,"$1,000,000 - $2,499,999",20 - 49 employees
35145259,Tim Hortons,6565 Highway 7 E,Markham,ON,L3P3B4,Canada,43.87802,-79.239961,722515,Snack and Nonalcoholic Beverage Bars,546105,DOUGHNUTS,,5350400.15,PROSPECT,"$500,000 - $999,999",10 - 19 employees
743305386,Sutton,1673 Lakeshore Rd W,Mississauga,ON,L5J1J4,Canada,43.518721,-79.622155,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350501.02,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
60905635,Aria Ristorante,25 York St,Toronto,ON,M5J2V5,Canada,43.643433,-79.381213,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350013.01,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
440549674,Country Style,670 Rexdale Blvd,Etobicoke,ON,M9W0B5,Canada,43.720764,-79.613288,722515,Snack and Nonalcoholic Beverage Bars,581228,COFFEE SHOPS,,5350247.01,CUSTOMER,"$1,000 - $499,999",1 - 4 employees
61536728,Extreme Pita,2187 Dunwin Dr,Mississauga,ON,L5L1X2,Canada,43.535294,-79.673176,722511,Full-Service Restaurants,581208,RESTAURANTS,,5350516.09,CUSTOMER,"$1,000 - $499,999",5 - 9 employees
440608827,Restaurant Shish-Kabab Express,2360 Ch Sainte-Foy,Quebec,QC,G1V4H2,Canada,46.786755,-71.282161,722511,Full-Service Restaurants,581208,RESTAURANTS,,4210116,PROSPECT,"$1,000 - $499,999",5 - 9 employees
