tle_id,tle_chain_id,tle_company_name,tle_address,tle_city,tle_province,tle_postal_code,tle_market_segment,tle_menu_type,tle_years_in_business,tle_number_employees,tle_chain_units,tle_annual_sales_estimate,tle_average_check,tle_website,tle_latitude,tle_longitude,tle_yelp_url,tle_facebook_url,tle_opentable_url,tle_mp_food_beverage_disposables_purchase
CA02162024452823,,MAZAR KABOB,133 THE WEST MALL,ETOBICOKE,ON,M9C1C2,LSR - FAST CASUAL,KEBABS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,http://www.mazarkabob.com,43.619595,-79.562416,,,,128113.93
CA02175396420825,,MYMY CHICKEN,9 SPRING GARDEN AVE,NORTH YORK,ON,M2N3G1,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",FRIED CHICKEN,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$5 TO $7,,43.764454,-79.410972,,,,634753.36
CA02151795279109,,ZOUP!,200 FRONT ST W,TORONTO,ON,M5V3K2,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SOUP / CHILI,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,http://www.zoup.com/,43.6447537,-79.3850544,http://www.yelp.com/biz/zoup-toronto-2,https://www.facebook.com/ZoupToronto,,86823.57
CA02100029207009,CA05120022627409,KERNELS EXTRAORDINARY POPCORN,3401 DUFFERIN ST,NORTH YORK,ON,M6A2T9,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SNACKS,5 YEARS PLUS,1 TO 4,51-100 UNITS,"<=$500,000",$5 TO $7,https://www.kernelspopcorn.com/,43.7245053,-79.4554545,http://www.yelp.com/biz/popcorn-kernels-north-york,http://www.facebook.com/kernelspopcorn,,98061.62
CA02100022377004,,TEXAS CHICKEN,2 BLOOR ST W,TORONTO,ON,M4W3E2,LSR - FAST CASUAL,FRIED CHICKEN,5 YEARS PLUS,5 TO 9,INDEPENDENT (1-9 UNITS),"<=$500,000",$7 TO $10,,43.6701335,-79.3874215,http://www.yelp.com/biz/texas-chicken-toronto,https://www.facebook.com/pages/Texas-Chicken/134287673263797,,157600.32
CA02155330419606,,DER BROT KORB,10-2458 DUNDAS ST W,MISSISSAUGA,ON,L5K1R8,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,http://www.terrafoodmart.com,43.527179,-79.676871,,,,104130.66
CA02141121461207,,EL-TIPICO ECUATORIANO,2312 KEELE ST,NORTH YORK,ON,M6M3Z8,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER LATIN AMERICA,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$10 TO $15,,43.7034935,-79.477234,http://www.yelp.com/biz/el-tipico-ecuatoriano-north-york,https://www.facebook.com/pages/El-Tipico-Ecuatoriano/1880599008682030,,470707.38
CA02151396976215,,THE OXLEY PUBLIC HOUSE,121 YORKVILLE AVE,TORONTO,ON,M5R1C4,FSR - UPSCALE CASUAL DINING RESTAURANTS,"IRISH, ENGLAND",5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$30 TO $50,http://theoxley.com/,43.6705626,-79.3930715,http://www.yelp.com/biz/the-oxley-toronto,https://www.facebook.com/theoxleyto/,,524019.69
CA02160597090408,CA05090011072113,KRISPY KREME,164 MC CAUL ST,TORONTO,ON,M5T1W4,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DONUTS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$5 TO $7,http://www.krispykreme.ca/,43.655714,-79.392035,,,,1793340
CA02154203079029,,PATTY KING,321 PROGRESS AVE,SCARBOROUGH,ON,M1P2Z7,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",BAKERIES / DONUTS / SNACKS UNCLASSIFIED,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,http://www.pattykingbakery.com/,,,http://www.yelp.com/biz/patty-king-bakery-scarborough,https://www.facebook.com/pages/Patty-King-Bakery/138204022861821,,103118.67
CA02151629810510,,4C CHICKEN BROAST,1758 LAWRENCE AVE E,SCARBOROUGH,ON,M1R2Y1,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",FRIED CHICKEN,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",$10 TO $15,,43.7426355,-79.3076541,http://www.yelp.com/biz/broaster-chicken-scarborough,,,322301.06
CA02150995901820,,REAL FOOD FOR REAL KIDS,41 DOVERCOURT RD,TORONTO,ON,M6J0G6,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",FUSION,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$15 TO $20,,43.6415923,-79.42139,,,,179261.2
CA02100013559221,CA05140139482815,BOURBON ST. GRILL,300 BOROUGH DR,SCARBOROUGH,ON,M1P4P5,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",CAJUN & CREOLE,5 YEARS PLUS,5 TO 9,10-50 UNITS,"$500,001 - $1,000,000",$5 TO $7,http://www.irg168.com/bourbon.html,43.7739159,-79.2609308,http://www.yelp.com/biz/bourbon-street-grill-scarborough,,,222638.54
CA02153780614704,,TINY TOMS DONUTS,2 STRACHAN AVE,TORONTO,ON,M6K3C3,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DONUTS,2 TO 5 YEARS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$5 TO $7,,43.635072,-79.409186,,,,250289.16
CA02100022321608,,CHURRASQUEIRA VILA VERDE RESTAURANT,869 DUNDAS ST W,TORONTO,ON,M6J1V6,"FSR - CAFÉ-RESTAURANTS, FAMILY-STYLE, DINER",PORTUGUESE,5 YEARS PLUS,1 TO 4,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,http://vilaverdechurrasqueira.com/,43.6512434,-79.4106314,http://www.yelp.com/biz/churrasqueria-vila-verde-toronto,https://www.facebook.com/pages/Churrasqueira-Vila-Verde-Restaurant/114207891959356,,52098.08
CA02155692378908,,EXPRESS DELI CAFE,245 FAIRVIEW MALL DR,NORTH YORK,ON,M2J4T1,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",DELI,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$5 TO $7,,43.7797481,-79.3419053,http://www.yelp.com/biz/express-deli-cafe-north-york,,,68563.06
CA02159164767216,CA05194336187211,FRESH WEST GRILL,200 BAY ST,TORONTO,ON,M5J2J1,LSR - FAST CASUAL,SOUTHWESTERN / TEX-MEX,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$500,001 - $1,000,000",$7 TO $10,http://www.freshwestgrill.com/,43.6465807,-79.3799177,,https://www.facebook.com/RoyalBankPlaza/,,89465.58
CA02145540169026,,MIRAFLORES RESTAURANT,816 ST CLAIR AVE W,TORONTO,ON,M6C1B6,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",STEAK & SEAFOOD,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"$1,000,001 - $2,500,000",UNCODED,,43.68078,-79.43047,,https://www.facebook.com/112102856300357,,674021.22
CA02150999720919,CA05120022627409,KERNELS EXTRAORDINARY POPCORN,3246 YONGE ST,TORONTO,ON,M4N2L4,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",SNACKS,2 TO 5 YEARS,UNCODED,51-100 UNITS,"<=$500,000",$5 TO $7,https://www.kernelspopcorn.com/,43.729734,-79.403439,,,,118360.44
CA02151213102815,,PIASSA INGERA,260 DUNDAS ST E,TORONTO,ON,M5A1Z6,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",AFRICAN,5 YEARS PLUS,UNCODED,INDEPENDENT (1-9 UNITS),"<=$500,000",$10 TO $15,,43.65815,-79.3724455,http://www.yelp.com/biz/piassa-ingera-toronto,https://www.facebook.com/pages/Piassa-Injera/197220294411838,,87953.17
